baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.28233675006	5.82559985693681	0.143008512088463	40.7360357216581	0	0
ENSMUSG00000025608.9	4401.74797188427	8.3123521551535	0.197513273359691	42.0850306096437	0	0
ENSMUSG00000045545.8	4088.38487322977	9.1245117412882	0.238753005177906	38.2173691781977	0	0
ENSMUSG00000047586.4	2409.01415530367	7.42306981409608	0.196912915286504	37.6972216540274	0	0
ENSMUSG00000054889.10	6835.429627958	4.65307539743261	0.114963177416508	40.4744849785655	0	0
ENSMUSG00000097767.8	4106.85503367178	6.5950964886903	0.151467960980502	43.5411980592995	0	0
ENSMUSG00000020758.15	6336.81294517335	4.25989912573786	0.114959905079201	37.0555205556496	1.4634408730626e-300	4.32467684288184e-297
ENSMUSG00000030693.10	1240.49584613214	5.46818468820541	0.148324050541587	36.8664735640579	1.59282276603782e-297	4.11864146728229e-294
ENSMUSG00000053797.10	2357.55655693172	7.97916264755597	0.217489970764807	36.6874969889283	1.15584390799105e-294	2.65664300896699e-291
ENSMUSG00000024406.16	2300.6125526244	4.4820321384817	0.123018915890591	36.4336826254255	1.24735482054277e-290	2.58027818177477e-287
ENSMUSG00000037820.15	3906.60633877677	4.02398215107889	0.110664006180209	36.3621586636408	1.6883059998046e-289	3.17493617381437e-286
ENSMUSG00000047281.3	1063.72862263013	5.25843592513108	0.149590352992694	35.1522395657954	1.07434861587934e-270	1.85199795567334e-267
ENSMUSG00000056602.12	1176.51666247662	5.38990956715837	0.153503679379859	35.1125757306478	4.33329283956399e-270	6.89526889840159e-267
ENSMUSG00000027375.14	3835.61310730729	5.76200929600517	0.164606763044954	35.0046935461064	1.90871804924588e-268	2.82026725476431e-265
ENSMUSG00000037185.9	1422.70977468094	4.99091283540411	0.143871609923773	34.6900464799722	1.11309414180385e-263	1.53503102782363e-260
ENSMUSG00000026413.12	1670.25269845343	5.50801274698801	0.162362488346561	33.9241705586035	2.93287519517603e-252	3.79184101796321e-249
ENSMUSG00000031995.9	1272.10448093634	6.00958202377027	0.180172683188005	33.3545680590184	6.25433333009592e-244	7.61041995684495e-241
ENSMUSG00000019102.10	4252.20687915294	3.75666151553078	0.117391706925115	32.001080944561	1.05330712999571e-224	1.21048396061618e-221
ENSMUSG00000034282.3	1267.21820823715	6.84037156526568	0.216718881104728	31.5633392457398	1.176529718911e-218	1.28093125081015e-215
ENSMUSG00000074796.10	890.97782191198	4.27576151249783	0.135811187123278	31.483131861712	1.47833972620241e-217	1.52904677881116e-214
ENSMUSG00000028435.8	1000.62242957061	6.25351064833449	0.200050867363738	31.2596027737495	1.65315962028634e-214	1.62844094786873e-211
ENSMUSG00000042793.13	993.613735094843	4.19109801550322	0.135032028576267	31.0378068054873	1.66645100249261e-211	1.5669184289801e-208
ENSMUSG00000049382.10	5899.50747635691	10.8668983910469	0.354163064919861	30.6833192600302	9.50201577565136e-207	8.5460303623967e-204
ENSMUSG00000063450.14	2006.19523891987	3.45588917863976	0.113609811144931	30.4189325183466	3.08672833812056e-203	2.66050260009841e-200
ENSMUSG00000022871.13	1099.84386583852	6.65658033290186	0.221674728255072	30.0285936304043	4.15612588763427e-198	3.4389448044641e-195
ENSMUSG00000020788.15	2105.0567915737	8.81871302326815	0.298924313275029	29.501491286038	2.75489918343816e-191	2.19184017340776e-188
ENSMUSG00000025432.11	1237.66092183823	6.45500199012535	0.21891739294454	29.4860170921213	4.35052435923882e-191	3.33314618130423e-188
ENSMUSG00000061126.5	1586.39700205738	8.12867687220568	0.276576553799536	29.3903324795109	7.29897947264913e-190	5.39238176325785e-187
ENSMUSG00000003153.10	1022.23694830262	4.75309847665751	0.169223454480255	28.0877050480736	1.38437226497065e-173	9.87487057695963e-171
ENSMUSG00000060716.7	840.111771142881	6.73493871597426	0.239866062426023	28.0779141820088	1.82312049453831e-173	1.25710235166731e-170
ENSMUSG00000040703.11	1371.2326083694	7.27386966347779	0.261029278074435	27.8661065039745	6.87312512423125e-171	4.58636988128541e-168
ENSMUSG00000048699.4	2458.74819388717	9.60299563917904	0.347621528600756	27.6248587877539	5.59610364575854e-168	3.61753125050503e-165
ENSMUSG00000038295.14	631.297612721278	5.23894283447408	0.191094724599502	27.4154236620289	1.79605008439884e-165	1.12585127411741e-162
ENSMUSG00000012350.15	1200.73919005265	7.68157720480466	0.282775740696907	27.1649087926469	1.68806390891969e-162	1.02703794176214e-159
ENSMUSG00000024421.16	651.454594614763	5.80232090501566	0.215268243244881	26.9539102356828	5.13297245845337e-160	3.0337333793019e-157
ENSMUSG00000048373.8	879.046938086967	7.22974697370435	0.279667128743448	25.8512575510315	2.35516026857042e-147	1.35330125876799e-144
ENSMUSG00000024331.11	731.930983893184	5.56469628310762	0.220072845690773	25.2857014941618	4.58852984344264e-141	2.56536022544471e-138
ENSMUSG00000031297.14	803.338929120902	3.90837559693868	0.154656228482324	25.2713753289631	6.59471893100624e-141	3.58995673175776e-138
ENSMUSG00000043439.5	659.540871137772	5.17609614829517	0.205104185722308	25.2364237719806	1.59636134958447e-140	8.46726432756521e-138
ENSMUSG00000018166.8	696.99460368879	6.81100356492757	0.270554264638118	25.1742606017972	7.66779757436627e-140	3.96540151558352e-137
ENSMUSG00000074227.12	750.592575779474	3.91043683998479	0.156146545235755	25.0433772587199	2.06139234841661e-138	1.04004785656942e-135
ENSMUSG00000115388.2	609.430572873782	6.50256789559648	0.260721339396242	24.9406815362893	2.69518585234616e-137	1.3274432033722e-134
ENSMUSG00000020911.14	1699.5528438455	3.62489012096202	0.145393655044154	24.9315564689614	3.38507376816659e-137	1.62845665042545e-134
ENSMUSG00000018849.6	1056.26906658444	3.63319223031573	0.14618698837947	24.8530479394291	2.39693893660064e-136	1.12688815551184e-133
ENSMUSG00000074272.10	525.097829982521	4.94696450229216	0.199684851688307	24.7738597117722	1.71552967192292e-135	7.88609928742167e-133
ENSMUSG00000022123.9	552.679885730424	4.73719281495022	0.194188977053559	24.3947565244327	1.94398754075013e-131	8.55602686552281e-129
ENSMUSG00000022218.16	1164.86456249752	8.52455682786397	0.349431874022772	24.3954758039859	1.91011796585424e-131	8.55602686552281e-129
ENSMUSG00000030494.13	525.787604261958	5.76757395286251	0.236660669273076	24.3706483657724	3.50275148346914e-131	1.50953994139672e-128
